Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count,Adjusted Activity Type Code,Adjusted Passenger Count,Year,Month
200507,0,60,0,54,0,8,0,0,2,1,27271,0,27271,2005,5
200507,0,60,0,54,0,8,1,0,2,1,29131,1,29131,2005,5
200507,0,60,0,54,0,8,2,0,2,1,5415,2,10830,2005,5
200507,4,6,4,6,1,2,0,1,2,1,35156,0,35156,2005,5
200507,4,6,4,6,1,2,1,1,2,1,34090,1,34090,2005,5
200507,6,15,5,15,1,0,0,1,0,6,6263,0,6263,2005,5
200507,6,15,5,15,1,0,1,1,0,6,5500,1,5500,2005,5
200507,7,7,6,7,1,4,0,1,0,0,12050,0,12050,2005,5
200507,7,7,6,7,1,4,1,1,0,0,11638,1,11638,2005,5
200507,9,46,8,43,1,1,0,1,0,6,4998,0,4998,2005,5
200507,9,46,8,43,1,1,1,1,0,6,4962,1,4962,2005,5
200507,10,30,9,28,0,8,0,0,0,0,8055,0,8055,2005,5
200507,10,30,9,28,0,8,1,0,0,0,7984,1,7984,2005,5
200507,11,10,10,10,0,8,0,1,0,0,36641,0,36641,2005,5
200507,11,10,10,10,0,8,1,1,0,0,39379,1,39379,2005,5
200507,11,10,10,10,0,8,2,1,0,0,3678,2,7356,2005,5
200507,11,10,10,10,1,2,0,1,0,0,7977,0,7977,2005,5
200507,11,10,10,10,1,2,1,1,0,0,8837,1,8837,2005,5
200507,11,10,10,10,1,5,0,1,0,0,6969,0,6969,2005,5
200507,11,10,10,10,1,5,1,1,0,0,10046,1,10046,2005,5
200507,11,10,10,10,1,5,2,1,0,0,2266,2,4532,2005,5
200507,12,43,11,40,1,0,0,1,0,6,6545,0,6545,2005,5
200507,12,43,11,40,1,0,1,1,0,6,6094,1,6094,2005,5
200507,14,4,13,4,0,8,0,1,4,4,166577,0,166577,2005,5
200507,14,4,13,4,0,8,1,1,4,4,160890,1,160890,2005,5
200507,15,40,13,4,0,8,0,1,4,4,5493,0,5493,2005,5
200507,15,40,13,4,0,8,1,1,4,4,5213,1,5213,2005,5
200507,17,48,15,44,1,0,0,1,0,0,5041,0,5041,2005,5
200507,17,48,15,44,1,0,1,1,0,0,4744,1,4744,2005,5
200507,18,25,24,21,0,8,0,1,2,2,1552,0,1552,2005,5
200507,18,25,24,21,0,8,1,1,2,2,1484,1,1484,2005,5
200507,20,0,17,0,1,4,0,1,0,0,325,0,325,2005,5
200507,20,0,17,0,1,4,1,1,0,0,545,1,545,2005,5
200507,21,12,18,12,1,4,0,1,0,0,20632,0,20632,2005,5
200507,21,12,18,12,1,4,1,1,0,0,21686,1,21686,2005,5
200507,23,19,20,18,1,0,0,1,0,0,11010,0,11010,2005,5
200507,23,19,20,18,1,0,1,1,0,0,9628,1,9628,2005,5
200507,24,16,21,16,1,0,0,1,0,0,13638,0,13638,2005,5
200507,24,16,21,16,1,0,1,1,0,0,11255,1,11255,2005,5
200507,28,22,24,21,0,8,0,1,2,2,97510,0,97510,2005,5
200507,28,22,24,21,0,8,1,1,2,2,93791,1,93791,2005,5
200507,29,14,25,14,1,0,0,1,0,6,14142,0,14142,2005,5
200507,29,14,25,14,1,0,1,1,0,6,12132,1,12132,2005,5
200507,34,28,29,26,0,8,0,0,2,1,19234,0,19234,2005,5
200507,34,28,29,26,0,8,1,0,2,1,18368,1,18368,2005,5
200507,35,33,30,31,0,8,0,1,2,2,7579,0,7579,2005,5
200507,35,33,30,31,0,8,1,1,2,2,7658,1,7658,2005,5
200507,36,52,10,10,0,8,0,1,2,1,5284,0,5284,2005,5
200507,36,52,10,10,0,8,1,1,2,1,5257,1,5257,2005,5
200507,37,29,31,27,1,4,0,1,0,0,4540,0,4540,2005,5
200507,37,29,31,27,1,4,1,1,0,0,4341,1,4341,2005,5
200507,38,21,32,20,0,8,0,0,0,0,10843,0,10843,2005,5
200507,38,21,32,20,0,8,1,0,0,0,10967,1,10967,2005,5
200507,39,34,33,32,1,0,0,1,0,0,9195,0,9195,2005,5
200507,39,34,33,32,1,0,1,1,0,0,9086,1,9086,2005,5
200507,42,36,36,34,1,4,0,1,0,0,9978,0,9978,2005,5
200507,42,36,36,34,1,4,1,1,0,0,9587,1,9587,2005,5
200507,43,35,37,33,1,0,0,1,0,0,6153,0,6153,2005,5
200507,43,35,37,33,1,0,1,1,0,0,5646,1,5646,2005,5
200507,45,37,39,35,1,4,0,1,0,6,22389,0,22389,2005,5
200507,45,37,39,35,1,4,1,1,0,6,20511,1,20511,2005,5
200507,46,71,55,56,0,8,0,1,2,1,2636,0,2636,2005,5
200507,46,71,55,56,0,8,1,1,2,1,2535,1,2535,2005,5
200507,48,42,40,39,1,5,0,1,0,6,7751,0,7751,2005,5
200507,48,42,40,39,1,5,1,1,0,6,7845,1,7845,2005,5
200507,50,72,42,63,0,8,0,1,2,0,1797,0,1797,2005,5
200507,50,72,42,63,0,8,1,1,2,0,3238,1,3238,2005,5
200507,51,45,43,42,0,8,0,1,2,2,64231,0,64231,2005,5
200507,51,45,43,42,0,8,1,1,2,2,62049,1,62049,2005,5
200507,51,45,43,42,1,0,0,1,0,0,7229,0,7229,2005,5
200507,51,45,43,42,1,0,1,1,0,0,6554,1,6554,2005,5
200507,52,49,44,45,1,0,0,1,0,0,12828,0,12828,2005,5
200507,52,49,44,45,1,0,1,1,0,0,10269,1,10269,2005,5
200507,56,56,48,50,1,0,0,1,0,6,19211,0,19211,2005,5
200507,56,56,48,50,1,0,1,1,0,6,17462,1,17462,2005,5
200507,57,47,24,21,0,8,0,1,2,2,7262,0,7262,2005,5
200507,57,47,24,21,0,8,1,1,2,2,6586,1,6586,2005,5
200507,57,47,57,55,0,8,0,1,4,5,103279,0,103279,2005,5
200507,57,47,57,55,0,8,1,1,4,5,102023,1,102023,2005,5
200507,57,47,57,55,1,2,0,1,4,5,3688,0,3688,2005,5
200507,57,47,57,55,1,2,1,1,4,5,3633,1,3633,2005,5
200507,60,57,51,51,0,8,0,0,2,1,4827,0,4827,2005,5
200507,60,57,51,51,0,8,1,0,2,1,4784,1,4784,2005,5
200507,62,58,53,52,1,3,0,1,0,6,6324,0,6324,2005,5
200507,62,58,53,52,1,3,1,1,0,6,7031,1,7031,2005,5
200507,64,62,55,56,0,8,0,1,2,0,46042,0,46042,2005,5
200507,64,62,55,56,0,8,1,1,2,0,45553,1,45553,2005,5
200507,64,62,55,56,0,8,0,0,2,1,38951,0,38951,2005,5
200507,64,62,55,56,0,8,1,0,2,1,37848,1,37848,2005,5
200507,65,61,56,55,0,8,0,1,2,1,62178,0,62178,2005,5
200507,65,61,56,55,0,8,1,1,2,1,60939,1,60939,2005,5
200507,66,61,57,55,0,8,0,0,4,4,58767,0,58767,2005,5
200507,66,61,57,55,0,8,1,0,4,4,58277,1,58277,2005,5
200507,66,61,57,55,0,8,0,1,4,5,443656,0,443656,2005,5
200507,66,61,57,55,0,8,1,1,4,5,421802,1,421802,2005,5
200507,66,61,57,55,0,8,2,1,4,5,11388,2,22776,2005,5
200507,66,61,57,55,1,0,0,1,0,6,77658,0,77658,2005,5
200507,66,61,57,55,1,0,1,1,0,6,68278,1,68278,2005,5
200507,66,61,57,55,1,0,2,1,0,6,3953,2,7906,2005,5
200507,66,61,57,55,1,1,0,1,0,6,8603,0,8603,2005,5
200507,66,61,57,55,1,1,1,1,0,6,8234,1,8234,2005,5
200507,66,61,57,55,1,1,2,1,0,6,1385,2,2770,2005,5
200507,66,61,57,55,1,2,0,1,4,5,12874,0,12874,2005,5
200507,66,61,57,55,1,2,1,1,4,5,12085,1,12085,2005,5
200507,66,61,57,55,1,2,2,1,4,5,10,2,20,2005,5
200507,66,61,57,55,1,4,0,1,0,6,30796,0,30796,2005,5
200507,66,61,57,55,1,4,1,1,0,6,29283,1,29283,2005,5
200507,66,61,57,55,1,4,2,1,0,6,888,2,1776,2005,5
200507,66,61,57,55,1,5,0,1,0,6,9537,0,9537,2005,5
200507,66,61,57,55,1,5,1,1,0,6,9672,1,9672,2005,5
200507,66,61,57,55,1,5,2,1,0,6,45,2,90,2005,5
200507,68,63,59,57,1,4,0,1,0,0,11684,0,11684,2005,5
200507,68,63,59,57,1,4,1,1,0,0,10771,1,10771,2005,5
200507,69,67,60,61,1,2,0,1,0,0,2480,0,2480,2005,5
200507,69,67,60,61,1,2,1,1,0,0,2211,1,2211,2005,5
200508,0,60,0,54,0,8,0,0,2,1,27472,0,27472,2005,1
200508,0,60,0,54,0,8,1,0,2,1,26535,1,26535,2005,1
200508,0,60,0,54,0,8,2,0,2,1,5712,2,11424,2005,1
200508,4,6,4,6,1,2,0,1,2,1,34878,0,34878,2005,1
200508,4,6,4,6,1,2,1,1,2,1,34105,1,34105,2005,1
200508,6,15,5,15,1,0,0,1,0,6,4204,0,4204,2005,1
200508,6,15,5,15,1,0,1,1,0,6,3923,1,3923,2005,1
200508,7,7,6,7,1,4,0,1,0,0,11230,0,11230,2005,1
200508,7,7,6,7,1,4,1,1,0,0,11731,1,11731,2005,1
200508,9,46,8,43,1,1,0,1,0,6,4672,0,4672,2005,1
